rank,article,views
1,Main Page,6117318
2,Special:Search,843078
3,Troy Parrott,364546
4,2026 FIFA World Cup qualification (UEFA),341058
5,UFC 322,316030
6,Google Chrome,282558
7,2026 FIFA World Cup qualification,251048
8,Wikipedia:Featured pictures,238719
9,Islam Makhachev,233435
10,Dillon Danis,165285
11,2026 FIFA World Cup,157227
12,James A. Garfield,156002
13,Frankenstein (2025 film),155408
14,Valentina Shevchenko,139312
15,.xxx,139237
16,Pluribus (TV series),136795
17,Deaths in 2025,134404
18,Todd Snider,133166
19,The Beast in Me (TV series),132467
20,Fuck,129840
21,Jeffrey Epstein,124333
22,Jack Della Maddalena,124214
23,2026 FIFA World Cup qualification – UEFA second round,116566
24,2025 Bihar Legislative Assembly election,111623
25,Olivia Dean,109820
26,Ruby Wax,107257
27,Glen Powell,106378
28,One Battle After Another,105954
29,The Running Man (2025 film),104602
30,ChatGPT,99099
31,Michael Morales (fighter),98616
32,Wikipedia:Asian Month/2025,98595
33,Claire Danes,97490
34,2026 FIFA World Cup qualification (inter-confederation play-offs),96638
35,1989 Tiananmen Square protests and massacre,95757
36,Conor Benn,93537
37,Jacob Elordi,90055
38,Eddie Murphy,86809
39,6-7 (meme),86796
40,Frankenstein,86470
41,Lake Nyos disaster,83352
42,Now You See Me: Now You Don't,78945
43,Arch Manning,78421
44,Kelly Brook,76869
45,Dude (2025 film),76675
46,Chester A. Arthur,76122
47,Jack Doherty (YouTuber),75848
48,2018 Horizon Air Bombardier Q400 incident,74908
49,Matthew Rhys,74822
50,Carlos Prates,74728
51,Millie Bobby Brown,74171
52,Varanasi (2027 film),72134
53,Marjorie Taylor Greene,71669
54,Chris Eubank Jr,69877
55,Predator: Badlands,68137
56,Ed Gein,67230
57,Charles J. Guiteau,66662
58,Mia Goth,66619
59,Kris Boyd (American football),66295
60,Jeffrey Epstein client list,65940
61,De De Pyaar De 2,63524
62,Leon Edwards,63106
63,Lalu Prasad Yadav,62661
64,Bigg Boss (Tamil TV series) season 9,62520
65,Zhang Weili,61472
66,All Her Fault,59944
67,Kaantha,59689
68,Last Samurai Standing (TV series),59589
69,Maithili Thakur,59540
70,Jack Osbourne,58046
71,Donald Trump,56612
72,UFC rankings,56266
73,S. S. Rajamouli,55175
74,Angryginge,54541
75,Harry Kane,52227
76,Jolly LLB 3,52226
77,Sean Brady (fighter),52088
78,Virginia Giuffre,51307
79,List of UFC champions,51247
80,Ethiopian Airlines Flight 961,51124
81,Bigg Boss (Hindi TV series) season 19,50233
82,Stranger Things,50104
83,Dispatch (video game),49868
84,Delhi Crime,49167
85,Portal:Current events,49148
86,Zohran Mamdani,48879
87,Ghislaine Maxwell,47490
88,Pixiu,47475
89,1xBet,47453
90,Dharmendra,47294
91,Nigel Benn,46827
92,Ilia Topuria,46684
93,Chris Eubank,46575
94,YouTube,46280
95,Call of Duty: Black Ops 7,46185
96,Khabib Nurmagomedov,45913
97,Shabana Mahmood,45743
98,Bo Nickal,45585
99,2025 Chilean general election,45483
100,Absentia (TV series),44231
101,It – Welcome to Derry,43801
102,Nitish Kumar,43324
103,Malice (TV series),43098
104,Eddington (film),43055
105,AZ Alkmaar,42763
106,Charlie Murphy (actor),42645
107,Jeffrey Manchester,42633
108,2026 FIFA World Cup qualification – UEFA Group F,42208
109,Cooper Manning,42083
110,Alice Wong (activist),41790
111,Cynthia Erivo,41744
112,Martin Kemp,41732
113,Wikipedia:Wiki Science Competition 2025 in the United States,41524
114,Landman (TV series),41492
115,Erling Haaland,40899
116,Dan McGrath,40089
117,Bill Clinton,39566
118,Jannik Sinner,39399
119,Billy Bob Thornton,39045
120,Ansel Adams,39014
121,Mahesh Babu,38825
122,Brittany Snow,38824
123,Nick Fuentes,38749
124,Jameis Winston,38685
125,Nuremberg (2025 film),38581
126,Death by Lightning,38527
127,Benoît Saint Denis,38388
128,XXX (Kendrick Lamar song),38363
129,Marcus Mariota,38340
130,Playdate (film),38084
131,Sydney Sweeney,38065
132,Dasha Nekrasova,37536
133,Guillermo del Toro,37491
134,Ariana Grande,37228
135,Kenny Easley,36943
136,Wicked (2024 film),36916
137,Oscar Isaac,36730
138,Priyanka Chopra,36609
139,Hugh Dancy,36585
140,Mary Shelley,36550
141,Wuthering Heights,36420
142,Chess World Cup 2025,36352
143,Aitch (rapper),36328
144,Hermann Göring,35994
145,Cleopatra,35249
146,Soham murders,34912
